Patch_Size,Dim,Depth,Heads,pos_emb_ratio,Accuracy_old,Accuracy_new,phase_strong_old,magnitude_strong_old,normal_strong_old,FGSM_strong_old,fourier_strong_old,phase_strong_new,magnitude_strong_new,normal_strong_new,FGSM_strong_new,fourier_strong_new
4.0,128.0,4.0,8.0,0.5,62.34,63.08,15.25,15.92,19.08,11.31,0.93,15.11,16.91,20.26,10.14,0.67
4.0,256.0,4.0,8.0,0.0,68.84,64.18,16.03,17.59,23.44,12.68,0.24,17.51,18.13,21.81,10.22,0.17
4.0,256.0,4.0,8.0,0.125,68.84,69.5,16.03,17.59,23.44,12.68,0.24,21.79,22.04,28.54,13.39,0.18
4.0,256.0,4.0,8.0,0.2,68.84,70.13,16.03,17.59,23.44,12.68,0.24,18.86,19.48,26.67,13.2,0.2
4.0,256.0,4.0,8.0,0.25,68.84,70.17,16.03,17.59,23.44,12.68,0.24,20.62,21.72,27.89,14.31,0.23
4.0,256.0,4.0,8.0,0.5,68.84,68.11,16.03,17.59,23.44,12.68,0.24,17.79,19.02,24.6,12.56,0.16
4.0,64.0,6.0,2.0,0.0,54.85,55.43,13.97,14.59,15.26,12.15,2.23,12.65,13.49,14.97,8.0,1.16
4.0,64.0,6.0,2.0,0.125,54.85,57.02,13.97,14.59,15.26,12.15,2.23,15.12,15.55,17.81,8.93,0.69
4.0,64.0,6.0,2.0,0.2,54.85,57.21,13.97,14.59,15.26,12.15,2.23,15.4,16.02,19.58,10.99,0.47
4.0,64.0,6.0,2.0,0.25,54.85,56.43,13.97,14.59,15.26,12.15,2.23,16.36,17.67,20.72,11.19,0.63
4.0,64.0,6.0,2.0,0.5,54.85,56.05,13.97,14.59,15.26,12.15,2.23,13.62,14.3,15.81,9.89,1.11
4.0,128.0,6.0,2.0,0.0,61.92,59.54,14.48,15.02,18.15,10.44,0.87,16.29,16.63,20.65,8.9,0.08
4.0,128.0,6.0,2.0,0.125,61.92,65.16,14.48,15.02,18.15,10.44,0.87,17.7,18.35,23.4,11.94,0.28
4.0,128.0,6.0,2.0,0.2,61.92,64.37,14.48,15.02,18.15,10.44,0.87,18.18,18.17,23.51,12.77,0.36
4.0,128.0,6.0,2.0,0.25,61.92,63.75,14.48,15.02,18.15,10.44,0.87,16.69,17.51,22.14,11.46,0.55
4.0,128.0,6.0,2.0,0.5,61.92,63.23,14.48,15.02,18.15,10.44,0.87,15.79,16.16,21.86,11.59,0.26
4.0,256.0,6.0,2.0,0.0,67.34,61.86,17.3,18.26,25.14,14.23,0.48,15.83,17.1,20.98,9.27,0.09
4.0,256.0,6.0,2.0,0.125,67.34,68.79,17.3,18.26,25.14,14.23,0.48,19.99,20.63,24.83,12.28,0.18
4.0,256.0,6.0,2.0,0.2,67.34,69.14,17.3,18.26,25.14,14.23,0.48,20.38,21.12,27.53,13.73,0.18
